,total_power
1259,76034.1133
1260,79908.0105
1261,84606.7236
1262,84200.2267
1263,94523.42369999998
1264,89214.0435
1265,87185.5591
1266,84847.97569999998
1267,86632.9363
1268,87160.19429999997
1269,87263.6563
1270,85465.22009999998
1271,84283.847
1272,82515.00319999999
1273,81814.10960000001
1274,79435.60650000001
1275,76949.23080000003
1276,76008.83010000002
1277,73948.86619999999
1278,74333.23270000001
1279,74057.48980000002
1280,73826.29699999999
1281,73589.6039
1282,74434.5771
1283,76236.4767
1284,76345.5141
1285,76893.9275
1286,76275.2404
1287,76935.5238
1288,77918.95059999998
1289,76565.20670000001
1290,75832.78040000002
1291,76135.96649999998
1292,75656.6129
1293,76379.0832
1294,75558.83910000001
1295,74383.51680000001
1296,75802.8772
1297,75561.96680000002
1298,73126.8859
1299,70789.15710000001
1300,72393.05630000001
1301,71228.42080000002
1302,71218.9865
1303,70519.8538
1304,69130.24979999999
1305,68560.22030000002
1306,68528.75009999999
1307,67606.24350000001
1308,70989.6491
1309,73650.68609999999
1310,75856.39549999998
1311,76757.61619999999
1312,79692.26020000002
1313,82376.83669999999
1314,82641.8166
1315,81889.22349999996
1316,80108.24009999998
1317,78668.3309
1318,79410.0864
1319,79638.1077
1320,80328.27650000002
1321,78268.92049999996
1322,77386.23290000002
1323,76497.97350000001
1324,75711.8303
1325,75527.62359999999
1326,74958.4362
1327,73840.90120000001
1328,77683.85059999999
1329,79625.8154
1330,81628.53970000002
1331,87289.53390000001
1332,87110.8103
1333,77117.7039
1334,77906.98049999998
1335,79261.47309999999
1336,81058.71730000002
1337,80778.64720000002
1338,80315.7564
1339,81085.34279999998
1340,77420.2068
1341,77103.54300000002
1342,77551.491
1343,78220.3174
1344,76713.89669999998
1345,76929.48659999999
1346,78976.17359999998
1347,80166.21620000002
1348,79913.28050000002
1349,79305.83039999999
1350,79449.6261
1351,78530.60269999999
1352,78105.70010000002
1353,76441.9764
1354,74009.57380000001
1355,74111.5327
1356,75288.669
1357,74427.87359999999
1358,77215.26299999999
1359,79125.03719999999
1360,78307.653
1361,81341.5897
1362,82182.05300000001
1363,81344.57600000002
1364,80730.1809
1365,80771.7872
1366,81412.08690000001
1367,80881.18040000001
1368,80555.7565
1369,81347.71009999998
1370,82701.0301
1371,83035.53020000001
1372,81931.01030000002
1373,81083.4662
1374,81018.55669999999
1375,77293.80029999999
1376,75005.97320000002
1377,85570.4731
1378,87113.1408
1379,83244.86939999997
1380,82631.24220000001
1381,81398.9762
1382,80487.9097
1383,77877.6367
1384,77207.90980000001
1385,79142.3602
1386,78137.57283
1387,80784.78670000001
1388,80998.98300000004
1389,81410.52070000001
1390,82758.5238
1391,82255.92385
1392,81497.39239999998
1393,80397.08966499999
1394,79834.1367
1395,79250.46600000001
1396,75199.853565
1397,74234.90280000001
1398,73077.987
1399,66922.00980999999
1400,40097.58322
1401,37862.29999999999
1402,37894.29999999999
1403,37926.29999999999
1404,37958.29999999999
1405,35993.946716
1406,57107.88669000001
1407,65928.70302000002
1408,64713.22953999999
1409,64467.076700000005
1410,64455.810000000005
1411,64488.030000000006
1412,64475.77320000001
1413,64419.55330000001
1414,64626.453400000006
1415,65043.34330000001
