HourOfYear,electricity_demand
260,435.4540952587698
261,433.22834485876984
262,433.22834485876984
263,417.05471499169
264,417.05471499169
265,417.05471499169
266,417.05471499169
267,417.05471499169
268,417.05471499169
269,417.05471499169
270,417.05471499169
271,447.7989184423935
272,450.0246688423935
273,450.0246688423935
274,450.0246688423935
275,450.0246688423935
276,450.0246688423935
277,450.0246688423935
278,450.0246688423935
279,450.0246688423935
280,450.0246688423935
281,450.0246688423935
282,450.0246688423935
283,450.0246688423935
284,435.4540952587698
285,433.22834485876984
286,433.22834485876984
287,417.05471499169
288,417.05471499169
289,417.05471499169
290,417.05471499169
291,417.05471499169
292,417.05471499169
293,417.05471499169
294,417.05471499169
295,447.7989184423935
296,450.0246688423935
297,450.0246688423935
298,450.0246688423935
299,450.0246688423935
300,450.0246688423935
301,450.0246688423935
302,450.0246688423935
303,450.0246688423935
304,450.0246688423935
305,450.0246688423935
306,450.0246688423935
307,450.0246688423935
308,435.4540952587698
309,433.22834485876984
310,433.22834485876984
311,417.05471499169
312,417.05471499169
313,417.05471499169
314,417.05471499169
315,417.05471499169
316,417.05471499169
317,417.05471499169
318,417.05471499169
319,447.7989184423935
320,450.0246688423935
321,450.0246688423935
322,450.0246688423935
323,450.0246688423935
324,450.0246688423935
325,450.0246688423935
326,450.0246688423935
327,450.0246688423935
328,450.0246688423935
329,450.0246688423935
330,450.0246688423935
331,450.0246688423935
332,435.4540952587698
333,433.22834485876984
334,433.22834485876984
335,417.05471499169
336,417.05471499169
337,430.74307995169
338,201.52519039569
339,322.37428133167
340,328.02354792933
341,338.60912267427
342,382.48064847642996
343,464.8259090023935
344,557.76215608722
345,169.02925688503
346,585.55346969432
347,249.01319115361008
348,505.85521241205004
349,441.14363970682996
350,169.01869899652
351,250.6528776832601
352,441.09811644872
353,262.10545772732
354,144.23440479342
355,467.0516594023935
356,452.4810858187698
357,88.2891213125998
358,351.3747822618898
359,434.08170555169
360,269.17166740294
361,417.05471499169
362,417.05471499169
363,417.05471499169
364,417.05471499169
365,417.05471499169
366,417.05471499169
367,447.7989184423935
368,450.0246688423935
369,450.0246688423935
370,450.0246688423935
371,450.0246688423935
372,450.0246688423935
373,450.0246688423935
374,450.0246688423935
375,450.0246688423935
376,450.0246688423935
377,450.0246688423935
378,450.0246688423935
379,450.0246688423935
380,435.4540952587698
381,433.22834485876984
382,433.22834485876984
383,417.05471499169
384,417.05471499169
385,430.74307995169
386,201.52519039569
387,322.37428133167
388,328.02354792933
389,338.60912267427
390,382.48064847642996
391,464.8259090023935
392,557.76215608722
393,169.02925688503
394,585.55346969432
395,249.01319115361008
396,505.85521241205004
397,441.14363970682996
398,169.01869899652
399,250.6528776832601
400,441.09811644872
401,262.10545772732
402,144.23440479342
403,467.0516594023935
404,452.4810858187698
405,88.2891213125998
406,351.3747822618898
407,434.08170555169
408,269.17166740294
409,417.05471499169
410,417.05471499169
411,417.05471499169
412,417.05471499169
413,417.05471499169
414,417.05471499169
415,447.7989184423935
416,450.0246688423935
417,450.0246688423935
418,450.0246688423935
419,450.0246688423935
420,450.0246688423935
421,450.0246688423935
422,450.0246688423935
423,450.0246688423935
424,450.0246688423935
425,450.0246688423935
426,450.0246688423935
427,450.0246688423935
428,435.4540952587698
429,433.22834485876984
430,433.22834485876984
431,417.05471499169
432,417.05471499169
433,417.05471499169
434,417.05471499169
435,417.05471499169
436,417.05471499169
437,417.05471499169
438,417.05471499169
439,447.7989184423935
440,450.0246688423935
441,450.0246688423935
442,450.0246688423935
443,450.0246688423935
444,450.0246688423935
445,450.0246688423935
446,450.0246688423935
447,450.0246688423935
448,450.0246688423935
449,450.0246688423935
450,450.0246688423935
451,450.0246688423935
452,435.4540952587698
453,433.22834485876984
454,433.22834485876984
455,417.05471499169
456,417.05471499169
457,417.05471499169
458,417.05471499169
459,417.05471499169
460,417.05471499169
461,417.05471499169
462,417.05471499169
463,447.7989184423935
464,450.0246688423935
465,450.0246688423935
466,450.0246688423935
467,450.0246688423935
468,450.0246688423935
469,450.0246688423935
470,450.0246688423935
471,450.0246688423935
472,450.0246688423935
473,450.0246688423935
474,450.0246688423935
475,450.0246688423935
476,435.4540952587698
477,433.22834485876984
478,433.22834485876984
479,417.05471499169
480,417.05471499169
481,429.40762971169
482,432.74625531169
483,432.74625531169
484,432.74625531169
485,432.74625531169
486,432.74625531169
487,463.4904587623935
488,547.0603180871616
489,571.1871424248817
490,595.4703892871617
491,618.8407684871618
492,595.4703892871617
493,445.0148219763217
494,572.1000100871618
495,618.8407684871618
496,595.4703892871617
497,592.1317636871618
498,547.0603180871616
499,465.7162091623935
500,451.1456355787698
501,448.91988517876985
502,448.91988517876985
503,432.74625531169
504,432.74625531169
505,429.40762971169
506,432.74625531169
507,432.74625531169
508,432.74625531169
509,432.74625531169
510,432.74625531169
511,463.4904587623935
512,547.0603180871616
513,571.1871424248817
514,595.4703892871617
515,618.8407684871618
516,595.4703892871617
517,445.0148219763217
518,572.1000100871618
519,618.8407684871618
520,595.4703892871617
521,592.1317636871618
522,547.0603180871616
523,465.7162091623935
524,451.1456355787698
525,448.91988517876985
526,448.91988517876985
527,432.74625531169
528,432.74625531169
529,429.40762971169
530,432.74625531169
531,432.74625531169
532,432.74625531169
533,432.74625531169
534,432.74625531169
535,463.4904587623935
536,547.0603180871616
537,571.1871424248817
538,595.4703892871617
539,618.8407684871618
540,595.4703892871617
541,445.0148219763217
542,572.1000100871618
543,618.8407684871618
544,595.4703892871617
545,592.1317636871618
546,547.0603180871616
547,465.7162091623935
548,451.1456355787698
549,448.91988517876985
550,448.91988517876985
551,432.74625531169
552,432.74625531169
553,417.05471499169
554,417.05471499169
555,417.05471499169
556,417.05471499169
557,417.05471499169
