HourOfYear,PeriodOfYear,Domestic_electricity
1129,2,0.5564376000000002
1130,2,0.5564376000000002
1131,2,0.5564376000000002
1132,2,0.5564376000000002
1133,2,0.5564376000000002
1134,2,0.5564376000000002
1135,2,31.30064105070348
1136,2,33.52639145070348
1137,2,33.52639145070348
1138,2,33.52639145070348
1139,2,33.52639145070348
1140,2,33.52639145070348
1141,2,33.52639145070348
1142,2,33.52639145070348
1143,2,33.52639145070348
1144,2,33.52639145070348
1145,2,33.52639145070348
1146,2,33.52639145070348
1147,2,33.52639145070348
1148,2,18.95581786707982
1149,2,16.73006746707982
1150,2,16.73006746707982
1151,2,0.5564376000000002
1152,2,0.5564376000000002
1153,3,10.23845184
1154,3,13.57707744
1155,3,13.57707744
1156,3,13.57707744
1157,3,13.57707744
1158,3,13.57707744
1159,3,44.32128089070348
1160,3,109.1583646953549
1161,3,129.1901182953549
1162,3,147.5525590953549
1163,3,165.914999895355
1164,3,147.5525590953549
1165,3,98.30783149535496
1166,3,129.1901182953549
1167,3,165.914999895355
1168,3,147.5525590953549
1169,3,144.2139334953549
1170,3,109.1583646953549
1171,3,46.54703129070347
1172,3,31.97645770707982
1173,3,29.75070730707982
1174,3,29.75070730707982
1175,3,13.57707744
1176,3,13.57707744
1177,2,0.5564376000000002
1178,2,0.5564376000000002
1179,2,0.5564376000000002
1180,2,0.5564376000000002
1181,2,0.5564376000000002
1182,2,0.5564376000000002
1183,2,31.30064105070348
1184,2,33.52639145070348
1185,2,33.52639145070348
1186,2,33.52639145070348
1187,2,33.52639145070348
1188,2,33.52639145070348
1189,2,33.52639145070348
1190,2,33.52639145070348
1191,2,33.52639145070348
1192,2,33.52639145070348
1193,2,33.52639145070348
1194,2,33.52639145070348
1195,2,33.52639145070348
1196,2,18.95581786707982
1197,2,16.73006746707982
1198,2,16.73006746707982
1199,2,0.5564376000000002
1200,2,0.5564376000000002
1201,2,0.5564376000000002
1202,2,0.5564376000000002
1203,2,0.5564376000000002
